season,player,team_label,target_all_nba
2010,Dwight Howard,first all-nba team,3
2010,Dwyane Wade,first all-nba team,3
2010,Kevin Durant,first all-nba team,3
2010,Kobe Bryant,first all-nba team,3
2010,LeBron James,first all-nba team,3
2010,Amar'e Stoudemire,second all-nba team,2
2010,Carmelo Anthony,second all-nba team,2
2010,Deron Williams,second all-nba team,2
2010,Dirk Nowitzki,second all-nba team,2
2010,Steve Nash,second all-nba team,2
2010,Andrew Bogut,third all-nba team,1
2010,Brandon Roy,third all-nba team,1
2010,Joe Johnson,third all-nba team,1
2010,Pau Gasol,third all-nba team,1
2010,Tim Duncan,third all-nba team,1
2011,Derrick Rose,first all-nba team,3
2011,Dwight Howard,first all-nba team,3
2011,Kevin Durant,first all-nba team,3
2011,Kobe Bryant,first all-nba team,3
2011,LeBron James,first all-nba team,3
2011,Amar'e Stoudemire,second all-nba team,2
2011,Dirk Nowitzki,second all-nba team,2
2011,Dwyane Wade,second all-nba team,2
2011,Pau Gasol,second all-nba team,2
2011,Russell Westbrook,second all-nba team,2
2011,Al Horford,third all-nba team,1
2011,Chris Paul,third all-nba team,1
2011,LaMarcus Aldridge,third all-nba team,1
2011,Manu Ginobili,third all-nba team,1
2011,Zach Randolph,third all-nba team,1
2012,Chris Paul,first all-nba team,3
2012,Dwight Howard,first all-nba team,3
2012,Kevin Durant,first all-nba team,3
2012,Kobe Bryant,first all-nba team,3
2012,LeBron James,first all-nba team,3
2012,Andrew Bynum,second all-nba team,2
2012,Blake Griffin,second all-nba team,2
2012,Kevin Love,second all-nba team,2
2012,Russell Westbrook,second all-nba team,2
2012,Tony Parker,second all-nba team,2
2012,Carmelo Anthony,third all-nba team,1
2012,Dirk Nowitzki,third all-nba team,1
2012,Dwyane Wade,third all-nba team,1
2012,Rajon Rondo,third all-nba team,1
2012,Tyson Chandler,third all-nba team,1
2013,Chris Paul,first all-nba team,3
2013,Kevin Durant,first all-nba team,3
2013,Kobe Bryant,first all-nba team,3
2013,LeBron James,first all-nba team,3
2013,Tim Duncan,first all-nba team,3
2013,Blake Griffin,second all-nba team,2
2013,Carmelo Anthony,second all-nba team,2
2013,Marc Gasol,second all-nba team,2
2013,Russell Westbrook,second all-nba team,2
2013,Tony Parker,second all-nba team,2
2013,David Lee,third all-nba team,1
2013,Dwight Howard,third all-nba team,1
2013,Dwyane Wade,third all-nba team,1
2013,James Harden,third all-nba team,1
2013,Paul George,third all-nba team,1
2014,Chris Paul,first all-nba team,3
2014,James Harden,first all-nba team,3
2014,Joakim Noah,first all-nba team,3
2014,Kevin Durant,first all-nba team,3
2014,LeBron James,first all-nba team,3
2014,Blake Griffin,second all-nba team,2
2014,Dwight Howard,second all-nba team,2
2014,Kevin Love,second all-nba team,2
2014,Stephen Curry,second all-nba team,2
2014,Tony Parker,second all-nba team,2
2014,Al Jefferson,third all-nba team,1
2014,Damian Lillard,third all-nba team,1
2014,Goran Dragic,third all-nba team,1
2014,LaMarcus Aldridge,third all-nba team,1
2014,Paul George,third all-nba team,1
2015,Anthony Davis,first all-nba team,3
2015,James Harden,first all-nba team,3
2015,LeBron James,first all-nba team,3
2015,Marc Gasol,first all-nba team,3
2015,Stephen Curry,first all-nba team,3
2015,Chris Paul,second all-nba team,2
2015,DeMarcus Cousins,second all-nba team,2
2015,LaMarcus Aldridge,second all-nba team,2
2015,Pau Gasol,second all-nba team,2
2015,Russell Westbrook,second all-nba team,2
2015,Blake Griffin,third all-nba team,1
2015,DeAndre Jordan,third all-nba team,1
2015,Klay Thompson,third all-nba team,1
2015,Kyrie Irving,third all-nba team,1
2015,Tim Duncan,third all-nba team,1
2016,DeAndre Jordan,first all-nba team,3
2016,Kawhi Leonard,first all-nba team,3
2016,LeBron James,first all-nba team,3
2016,Russell Westbrook,first all-nba team,3
2016,Stephen Curry,first all-nba team,3
2016,Chris Paul,second all-nba team,2
2016,Damian Lillard,second all-nba team,2
2016,DeMarcus Cousins,second all-nba team,2
2016,Draymond Green,second all-nba team,2
2016,Kevin Durant,second all-nba team,2
2016,Andre Drummond,third all-nba team,1
2016,Klay Thompson,third all-nba team,1
2016,Kyle Lowry,third all-nba team,1
2016,LaMarcus Aldridge,third all-nba team,1
2016,Paul George,third all-nba team,1
2017,Anthony Davis,first all-nba team,3
2017,James Harden,first all-nba team,3
2017,Kawhi Leonard,first all-nba team,3
2017,LeBron James,first all-nba team,3
2017,Russell Westbrook,first all-nba team,3
2017,Giannis Antetokounmpo,second all-nba team,2
2017,Isaiah Thomas,second all-nba team,2
2017,Kevin Durant,second all-nba team,2
2017,Rudy Gobert,second all-nba team,2
2017,Stephen Curry,second all-nba team,2
2017,DeAndre Jordan,third all-nba team,1
2017,DeMar DeRozan,third all-nba team,1
2017,Draymond Green,third all-nba team,1
2017,Jimmy Butler,third all-nba team,1
2017,John Wall,third all-nba team,1
2018,Anthony Davis,first all-nba team,3
2018,Damian Lillard,first all-nba team,3
2018,James Harden,first all-nba team,3
2018,Kevin Durant,first all-nba team,3
2018,LeBron James,first all-nba team,3
2018,DeMar DeRozan,second all-nba team,2
2018,Giannis Antetokounmpo,second all-nba team,2
2018,Joel Embiid,second all-nba team,2
2018,LaMarcus Aldridge,second all-nba team,2
2018,Russell Westbrook,second all-nba team,2
2018,Jimmy Butler,third all-nba team,1
2018,Karl-Anthony Towns,third all-nba team,1
2018,Paul George,third all-nba team,1
2018,Stephen Curry,third all-nba team,1
2018,Victor Oladipo,third all-nba team,1
2019,Giannis Antetokounmpo,first all-nba team,3
2019,James Harden,first all-nba team,3
2019,Nikola Jokić,first all-nba team,3
2019,Paul George,first all-nba team,3
2019,Stephen Curry,first all-nba team,3
2019,Damian Lillard,second all-nba team,2
2019,Joel Embiid,second all-nba team,2
2019,Kawhi Leonard,second all-nba team,2
2019,Kevin Durant,second all-nba team,2
2019,Kyrie Irving,second all-nba team,2
2019,Blake Griffin,third all-nba team,1
2019,Kemba Walker,third all-nba team,1
2019,LeBron James,third all-nba team,1
2019,Rudy Gobert,third all-nba team,1
2019,Russell Westbrook,third all-nba team,1
2020,Anthony Davis,first all-nba team,3
2020,Giannis Antetokounmpo,first all-nba team,3
2020,James Harden,first all-nba team,3
2020,LeBron James,first all-nba team,3
2020,Luka Dončić,first all-nba team,3
2020,Chris Paul,second all-nba team,2
2020,Damian Lillard,second all-nba team,2
2020,Kawhi Leonard,second all-nba team,2
2020,Nikola Jokić,second all-nba team,2
2020,Pascal Siakam,second all-nba team,2
2020,Ben Simmons,third all-nba team,1
2020,Jayson Tatum,third all-nba team,1
2020,Jimmy Butler,third all-nba team,1
2020,Rudy Gobert,third all-nba team,1
2020,Russell Westbrook,third all-nba team,1
2021,Giannis Antetokounmpo,first all-nba team,3
2021,Kawhi Leonard,first all-nba team,3
2021,Luka Dončić,first all-nba team,3
2021,Nikola Jokić,first all-nba team,3
2021,Stephen Curry,first all-nba team,3
2021,Chris Paul,second all-nba team,2
2021,Damian Lillard,second all-nba team,2
2021,Joel Embiid,second all-nba team,2
2021,Julius Randle,second all-nba team,2
2021,LeBron James,second all-nba team,2
2021,Bradley Beal,third all-nba team,1
2021,Jimmy Butler,third all-nba team,1
2021,Kyrie Irving,third all-nba team,1
2021,Paul George,third all-nba team,1
2021,Rudy Gobert,third all-nba team,1
2022,Devin Booker,first all-nba team,3
2022,Giannis Antetokounmpo,first all-nba team,3
2022,Jayson Tatum,first all-nba team,3
2022,Luka Dončić,first all-nba team,3
2022,Nikola Jokić,first all-nba team,3
2022,DeMar DeRozan,second all-nba team,2
2022,Ja Morant,second all-nba team,2
2022,Joel Embiid,second all-nba team,2
2022,Kevin Durant,second all-nba team,2
2022,Stephen Curry,second all-nba team,2
2022,Chris Paul,third all-nba team,1
2022,Karl-Anthony Towns,third all-nba team,1
2022,LeBron James,third all-nba team,1
2022,Pascal Siakam,third all-nba team,1
2022,Trae Young,third all-nba team,1
2023,Giannis Antetokounmpo,first all-nba team,3
2023,Jayson Tatum,first all-nba team,3
2023,Joel Embiid,first all-nba team,3
2023,Luka Dončić,first all-nba team,3
2023,Shai Gilgeous-Alexander,first all-nba team,3
2023,Donovan Mitchell,second all-nba team,2
2023,Jaylen Brown,second all-nba team,2
2023,Jimmy Butler,second all-nba team,2
2023,Nikola Jokić,second all-nba team,2
2023,Stephen Curry,second all-nba team,2
2023,Damian Lillard,third all-nba team,1
2023,De'Aaron Fox,third all-nba team,1
2023,Domantas Sabonis,third all-nba team,1
2023,Julius Randle,third all-nba team,1
2023,LeBron James,third all-nba team,1
2024,Giannis Antetokounmpo,first all-nba team,3
2024,Jayson Tatum,first all-nba team,3
2024,Luka Dončić,first all-nba team,3
2024,Nikola Jokić,first all-nba team,3
2024,Shai Gilgeous-Alexander,first all-nba team,3
2024,Anthony Davis,second all-nba team,2
2024,Anthony Edwards,second all-nba team,2
2024,Jalen Brunson,second all-nba team,2
2024,Kawhi Leonard,second all-nba team,2
2024,Kevin Durant,second all-nba team,2
2024,Devin Booker,third all-nba team,1
2024,Domantas Sabonis,third all-nba team,1
2024,LeBron James,third all-nba team,1
2024,Stephen Curry,third all-nba team,1
2024,Tyrese Haliburton,third all-nba team,1
2025,Donovan Mitchell,first all-nba team,3
2025,Giannis Antetokounmpo,first all-nba team,3
2025,Jayson Tatum,first all-nba team,3
2025,Nikola Jokić,first all-nba team,3
2025,Shai Gilgeous-Alexander,first all-nba team,3
2025,Anthony Edwards,second all-nba team,2
2025,Evan Mobley,second all-nba team,2
2025,Jalen Brunson,second all-nba team,2
2025,LeBron James,second all-nba team,2
2025,Stephen Curry,second all-nba team,2
2025,Cade Cunningham,third all-nba team,1
2025,Jalen Williams,third all-nba team,1
2025,James Harden,third all-nba team,1
2025,Karl-Anthony Towns,third all-nba team,1
2025,Tyrese Haliburton,third all-nba team,1
